merchant_description,merchant_token,mcc,city,country,amount,date,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by,manually_curated
HUNGARO KERESKEDOHAZ K,hungaro kereskedohaz,5499,HEREND,HU,119.48,23/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
AENGELIBECK DS FUEFI U,aengelibeck fuefi,5462,NIEDERWANGEN,CH,141.17,8/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule,no
BOLT.EU/R/2504131434,bolt,7512,TALLINN,EE,61.47,19/1/2026,transport & taxis,"Taxi, public transport",repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
NYX*HAPPYGAMESSL,nyx happygamessl,5499,FUENGIROLA,ES,26.29,4/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
BOLT.EUD2507080830,bolt,5812,TALLINN,EE,85.78,19/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
OTP1 OTP AELIA AIR C5,otp aelia air,5309,OTOPENI,RO,8.64,23/3/2026,,,wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,,no
TAKSIDE POS,takside,4121,ISTANBUL,TR,28.97,19/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
FOODORA_AT_C4QK-2538-8,foodora,5499,WIEN,AT,44.07,6/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
CAMPANILE MARNE,campanile marne,3672,TORCY,FR,126.34,3/2/2026,hotels & accommodation,Hotels and lodging,lodging,"Hotels, resorts, casinos with lodging",,0.95,rule_based,mcc_rule,no
ACS*20414214 THREE,acs three,4814,107989541,NL,22.05,6/3/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule,no
TOOGOODT 5ZK08XT60K6Y0,toogoodt,5812,TOOGOODTOGO.E,DK,189.34,19/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
PUENTE ROMANO 7R,puente romano,5812,MARBELLA,ES,30.8,14/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
GOPAY  *DIVARIO.SHOP,gopay divario,5651,HUMENNE,SK,22.4,9/3/2026,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule,no
LIME*RIDE LCTY,lime ride lcty,4789,BARCELONA,ES,177.94,28/2/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
WWWROHLIKCZ,wwwrohlikcz,5411,PRAHA 8 KARLI,CZ,84.99,12/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
SKLEP SPOZYWCZY,sklep spozywczy,5499,GOSTYNIN,PL,50.73,7/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
MOL*MULTIECOM GMBH,mol multiecom gmbh,5691,4.91788E+11,DE,42.13,1/1/2026,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Men’s & Women’s Clothing,0.95,rule_based,mcc_rule,no
O17519842982136767 APP BR,,9311,TORINO,IT,86.43,17/12/2025,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
BANDCAMP YORUBA SOUL MI,bandcamp yoruba soul,5735,4152132160,US,198.72,3/2/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",,0.95,rule_based,mcc_rule,no
GRAB* A-5GLBDC4WWG3K,grab,5812,SOUTH JAKARTA,ID,49.73,20/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
SUPERMERCATO LIGURIA,supermercato liguria,5411,GENOVA,IT,173.1,26/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
PARATIKA*SHOP?NEXT,paratika next,5734,ISTANBUL,TR,50.92,28/12/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
ROSSMANN 2354,rossmann,5912,OELDE,DE,131.78,27/2/2026,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
TURISME DE BARCELONA,turisme barcelona,4722,EL PRAT DE LL,ES,143.18,4/11/2025,travel & airlines,Travel agencies,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
MYTHERESA.COM EURO1460,mytheresa,5651,0 ASCHHEIM,DE,162.53,30/12/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule,no
NEC CATERING INT,nec catering int,5811,BIRMINGHAM,GB,53.08,9/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Caterers,0.95,rule_based,mcc_rule,no
BANDCAMPADIGOLDSTEIN,bandcampadigoldstein,5815,BANDCAMP.CO,US,120.54,22/10/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
TORA ENERGEIA,tora energeia,4900,ATHINA,GR,82.76,20/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities","Utilities (Electric, Gas, Water)",0.95,rule_based,mcc_rule,no
FOODORA_AT_UAS8-2531-B,foodora,5499,WIEN,AT,150.33,7/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
DOBRE ELENA LAURA,dobre elena laura,6012,REVOLUT.COM,LT,178.93,26/10/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Financial Institutions,0.95,rule_based,mcc_rule,no
CRO,cro,6051,VALLETTA,MT,82.62,31/1/2026,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule,no
ANAM CARA S C P,anam cara,5411,LAS PALMAS,ES,74.37,14/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
SKYSHOWTIME CB837 SHOWTIM,skyshowtime showtim,4899,AMSTERDAM,NL,46.96,1/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
HERMAN MILLER INC,herman miller inc,5712,MELKSHAM,GB,22.6,19/1/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Furniture Stores,0.95,rule_based,mcc_rule,no
EVERSPORTS* MYSTIQUE F,eversports mystique,5734,WIEN,AT,181.88,18/1/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
SP AGESTOP SWITZERLAND,agestop switzerland,5977,ZURICH,CH,14.9,14/2/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Cosmetic Stores,0.0,rule_based,,no
GIZZMO,gizzmo,5732,LJUBLJANA,SI,145.25,9/11/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Electronics Stores,0.95,rule_based,mcc_rule,no
TCL 69 LYO,tcl lyo,4111,V25148009854�,FR,189.51,1/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
LIDL DISCOUNT SRL,lidl discount srl,5411,ARAD,RO,172.24,9/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
NYX*ALOISDALLMAYRAUTOMAT,nyx aloisdallmayrautomat,5814,SZEREMLE,HU,132.31,28/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
VIVA*NYNN MONOPROSOPI ANO,viva nynn monoprosopi ano,3514,PALAIO FALIRO,GR,37.82,2/2/2026,hotels & accommodation,Hotels and lodging,lodging,"Hotels, resorts, casinos with lodging",,0.95,rule_based,mcc_rule,no
AMAZON UK* Z97OR5YT4,amazon,5399,LONDON,GB,130.2,19/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
C&A VESZPRÉM 191.,veszpr,5691,VESZPREM,HU,28.4,30/9/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Men’s & Women’s Clothing,0.95,rule_based,mcc_rule,no
ORADEA TRANSPORT LOCAL,oradea transport local,4789,ORADEA,RO,184.15,26/9/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
CARREFOUR-MOE,carrefour moe,5411,DUBAI,AE,157.24,21/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
AL SHAAB ROASTERY,shaab roastery,5441,IRBID CENTRAL,JO,41.34,9/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Candy / Nut Stores,0.95,rule_based,mcc_rule,no
BOLT.EU/O/2505211633,bolt,4121,TALLINN,EE,87.98,26/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
KISALLAT ABC,kisallat abc,5995,SZEGED,HU,193.07,17/1/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
BOOTS 2037,boots,5912,WREXHAM,GB,154.87,25/2/2026,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
ACS*23051835 THREE,acs three,4814,ROTTERDAM,NL,95.1,11/3/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule,no
WAL-MART #2735,wal mart,5411,SACRAMENTO,US,59.7,13/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
FOODORA_AT_LO79-2448-J1A7,foodora,5499,WIEN,AT,96.46,30/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
MASO-UZENINY LASTOVKA,maso uzeniny lastovka,5422,PRAHA 8,CZ,180.41,23/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Freezer & Locker Meat Provisioners,0.95,rule_based,mcc_rule,no
KOMPASS HALAL MARKT,kompass halal markt,5411,LEIPZIG,DE,145.76,5/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
CAFETERIA TEA TIME EX,cafeteria tea time,5812,ABU DHABI,AE,112.61,21/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
SKYSHOWTIME 5A025 SHTANDA,skyshowtime shtanda,4899,AMSTERDAM,NL,36.82,10/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
DUTY FREE SHOPS,duty free shops,5309,RODOS,GR,103.58,19/2/2026,,,wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,,no
BBOX STOCKERAU - DRINK,bbox stockerau drink,5499,STOCKERAU  N,AT,18.12,15/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
AMAZON UK* JJ4NR43M5,amazon,5399,LONDON,GB,68.22,19/3/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
AMAZON.CO.UK*Z317B6175,amazon,5969,AMAZON.CO.UK,GB,97.37,11/3/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
JMP S.A. BIEDRONKA 2817,jmp biedronka,5411,BIALA RAWSKA,PL,104.19,14/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
DENN'S BIOMARKT HANNOV,denn biomarkt hannov,5411,HANNOVER,DE,85.79,20/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
ZOIS GEORGIOS,zois georgios,5331,ATHINA,GR,24.06,22/11/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Variety Stores,0.95,rule_based,mcc_rule,no
PAYPAL *AIRBNB  HMCF2CKHE,paypal airbnb,7011,35314369001,LU,76.6,2/12/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
GOPAY  $KACERLE.CZ,gopay kacerle,5941,KACERLE.CZ,CZ,58.28,19/3/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Sporting Goods Stores,0.0,rule_based,,no
GOOGLE *NIANTIC INC,google niantic inc,5816,G.CO/HELPPAY#,GB,129.98,18/2/2026,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
RIZK HALAL FOOD STORE,rizk halal food,5411,NINTH LOCK RO,IE,70.86,10/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
HFB RET IKEA 229 REGEN,hfb ret ikea regen,5712,REGENSBURG,DE,163.05,2/12/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Furniture Stores,0.95,rule_based,mcc_rule,no
SKYSHOWTIME AF29A SHTANDA,skyshowtime shtanda,4899,AMSTERDAM,NL,143.1,8/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
ELBGOLD ROSTKAFFEE,elbgold rostkaffee,5812,HAMBURG,DE,138.4,6/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
SHELL,shell,5541,ST COLUMB MIN,GB,5.47,21/3/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
LAURA BOROWSKA-BESZTA,laura borowska beszta,7230,BIALYSTOK,PL,190.66,24/3/2026,beauty & personal care,Beauty salons,personal services,"Hotels, laundry, beauty services, personal care",Beauty Salons,0.95,rule_based,mcc_rule,no
5090.5723.6305 AIB_ECO,aib eco,7995,VALETTA,MT,134.12,15/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
KARLSBERGER PUB AS,karlsberger pub,5813,LONGYEARBYEN,NO,82.99,2/3/2026,bars & alcohol,Bars,restaurants,"Restaurants, bars, fast food",Bars / Taverns,0.95,rule_based,mcc_rule,no
PEACOCK FB65C PREMIUM,peacock premium,4899,212-6640138,US,31.44,11/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
NONNA VINCENZA,nonna vincenza,5462,ROMA,IT,192.93,2/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule,no
KARGOMKT.C* #ID 170079,kargomkt,5812,SHEFFIELD,GB,100.12,23/3/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
PROFI ROM FOOD SRL,profi rom food srl,5411,RESITA,RO,5.66,5/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
STICHTING PLEIN,stichting plein,7523,S-GRAVENHAGE,NL,180.69,23/11/2025,,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
AMAZON UK* MF2P82U95,amazon,5399,LONDON,GB,8.89,30/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
HACIENDA PATAGONICA LT,hacienda patagonica,5812,GIBRALTAR,GB,142.55,24/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL LEQX1PRO,BE,5.37,23/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
HAPPYTIGER,happytiger,7995,ID:1760045079,DK,169.06,31/12/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
2BF47 SKY CINE,sky cine,5815,DUBLIN 4,IE,94.11,13/3/2026,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
PAYPAL *SPOTIFY*P3836E,paypal spotify,5815,7517591951,SE,105.78,9/2/2026,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
COMMERZBANK 00213992,commerzbank,6011,KLEINMACHNOW,DE,195.66,22/3/2026,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",ATM Cash Withdrawal,0.95,rule_based,mcc_rule,no
VANGOGHMUSEUM GT-26919239,vangoghmuseum,7991,AMSTERDAM,NL,96.75,5/3/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Tourist Attractions,0.95,rule_based,mcc_rule,no
SHELL3685,,5541,MENDIG,DE,10.67,15/1/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
AYTO S BARTOLOME TIRA,ayto bartolome tira,9399,J MASPALOMAS,ES,160.68,31/1/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule,no
MACYS  HERALD SQUARE,macys herald square,5311,NEW YORK,US,155.5,3/3/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule,no
MONZO * ME NICHOLAS TAC,monzo nicholas tac,6012,LONDON,GB,63.64,19/2/2026,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Financial Institutions,0.95,rule_based,mcc_rule,no
FOODORA_AT_OD1G-A66V,foodora,5499,WIEN,AT,72.27,19/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
LIDL SAGT DANKE,lidl sagt danke,5411,ESSEN         DEU,DE,172.35,14/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
ZILCH TESCO STORES 5347,zilch tesco stores,8999,GB,GB,114.54,6/10/2025,,,miscellaneous professional services,"Laboratories, testing, specialized services",,0.0,rule_based,,no
DROPBOX*LM2TC2XV5LXT,dropbox,4816,DB.TT/CCHELP,IE,162.87,17/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Computer Network Services,0.95,rule_based,mcc_rule,no
COOP,coop,5411,LONGYEARBYEN,NO,150.88,30/9/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
SELECTA SAS,selecta sas,5499,LE BOURGET,FR,132.84,16/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
AMAZON UK* IC61N50C5,amazon,5399,LONDON,GB,158.2,15/10/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
PAYPAL *AIRBNB HMK3Q3TQH,paypal airbnb,7011,35314369001,LU,87.74,21/10/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
FOODORA_CZ_SUB-33RO7OWYBQ,foodora sub,5499,PRAGUE 8,CZ,181.37,8/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
LIME*PASS 4T6E,lime pass,4789,BARANGAROO,AU,40.48,25/1/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
VIETNAM AIRLINES,vietnam airlines,4511,HA NOI,VN,26.63,6/10/2025,travel & airlines,Airlines,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Airlines,0.95,rule_based,mcc_rule,no
ORDINATION DR. ZENAHLI,ordination zenahli,8011,GRAZ,AT,138.18,6/2/2026,health & pharmacy,Medical and health services,healthcare,"Doctors, dentists, hospitals",Doctors,0.95,rule_based,mcc_rule,no
HOTEL PASEO DE GRACIA,hotel paseo gracia,7011,BARCELONA,ES,169.98,18/12/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
TV NOVA 1479404352,nova,4899,PRAHA 5,CZ,14.85,27/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
MALOUA,maloua,5812,SAINT JORY,FR,186.77,8/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
FOODORA_AT_GVHE-2437-6,foodora gvhe,5499,WIEN,AT,138.4,7/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
WOW 0ED0C FILME ABO,wow filme abo,4899,UNTERFOEHRING,DE,8.79,26/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
BRINGO,bringo,5812,TOFALAU,RO,140.75,4/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
COUCHE-TARD #1121,couche tard,5541,DRUMMONDVILLE,CA,10.64,28/1/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
200 DEGREES COFFEE SHO,degrees coffee sho,5812,BIRMINGHAM,GB,6.29,1/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
PRICELINE.COM,priceline,4722,NORWALK,US,105.46,10/12/2025,travel & airlines,Travel agencies,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
ADYEN NV,adyen,5812,NL-AMSTERDAM,CH,24.16,24/11/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL H7ALKLB5,BE,173.49,18/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
BR. VAJBAR VINARSTVI,vajbar vinarstvi,5921,ZAJECI,CZ,179.78,4/11/2025,bars & alcohol,Liquor stores,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Liquor Stores,0.95,rule_based,mcc_rule,no
TCL 69 LYO,tcl lyo,4111,V25220003449�,FR,77.79,15/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
FIDELITY PRINT,fidelity print,2741,BEDFORD,GB,71.72,16/12/2025,,,contracted services / manufacturing support,"Printing, cleaning services, equipment maintenance",,0.0,rule_based,,no
MPAY SA-MPAY-JASNA 1..,mpay jasna,6012,WARSZAWA,PL,26.15,20/3/2026,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Financial Institutions,0.95,rule_based,mcc_rule,no
LOTUS THAI,lotus thai,5812,REINACH BL,CH,191.35,14/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
AMAZON UK* Z151K3X84,amazon,5399,LONDON,GB,111.52,1/1/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
SUNNY CARS GMBH,sunny cars gmbh,7512,R. 14539779,DE,141.48,14/2/2026,,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
WWW.AMAZON.* AZ27T5K85,amazon,5399,LUXEMBOURG,LU,155.36,4/3/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
